Ville: Nom de la commune, Code:Code région, Region:Nom de la région, Population:Population totale
Ville: Bourg-en-Bresse, Code:84, Region:Auvergne-Rhône-Alpes, Population:43 454
Ville: Laon, Code:32, Region:Hauts-de-France, Population:26 031
Ville: Saint-Quentin, Code:32, Region:Hauts-de-France, Population:55 940
Ville: Soissons, Code:32, Region:Hauts-de-France, Population:29 417
Ville: Montluçon, Code:84, Region:Auvergne-Rhône-Alpes, Population:37 417
Ville: Gap, Code:93, Region:Provence-Alpes-Côte d'Azur, Population:42 567
Ville: Antibes, Code:93, Region:Provence-Alpes-Côte d'Azur, Population:74 982
Ville: Cagnes-sur-Mer, Code:93, Region:Provence-Alpes-Côte d'Azur, Population:50 385
Ville: Cannes, Code:93, Region:Provence-Alpes-Côte d'Azur, Population:75 046
Ville: Le Cannet, Code:93, Region:Provence-Alpes-Côte d'Azur, Population:42 056
Ville: Grasse, Code:93, Region:Provence-Alpes-Côte d'Azur, Population:51 705
Ville: Menton, Code:93, Region:Provence-Alpes-Côte d'Azur, Population:28 942
Ville: Nice, Code:93, Region:Provence-Alpes-Côte d'Azur, Population:345 998
Ville: Saint-Laurent-du-Var, Code:93, Region:Provence-Alpes-Côte d'Azur, Population:28 831
Ville: Vallauris, Code:93, Region:Provence-Alpes-Côte d'Azur, Population:26 787
Ville: Charleville-Mézières, Code:44, Region:Grand Est, Population:48 420
Ville: Troyes, Code:44, Region:Grand Est, Population:61 988
Ville: Carcassonne, Code:76, Region:Occitanie, Population:47 418
Ville: Narbonne, Code:76, Region:Occitanie, Population:55 001
Ville: Rodez, Code:76, Region:Occitanie, Population:25 747
Ville: Aix-en-Provence, Code:93, Region:Provence-Alpes-Côte d'Azur, Population:146 385
Ville: Arles, Code:93, Region:Provence-Alpes-Côte d'Azur, Population:53 807
Ville: Aubagne, Code:93, Region:Provence-Alpes-Côte d'Azur, Population:45 711
Ville: La Ciotat, Code:93, Region:Provence-Alpes-Côte d'Azur, Population:35 758
Ville: Istres, Code:93, Region:Provence-Alpes-Côte d'Azur, Population:44 248
Ville: Marignane, Code:93, Region:Provence-Alpes-Côte d'Azur, Population:33 949
Ville: Marseille, Code:93, Region:Provence-Alpes-Côte d'Azur, Population:870 018
Ville: Martigues, Code:93, Region:Provence-Alpes-Côte d'Azur, Population:49 310
Ville: Miramas, Code:93, Region:Provence-Alpes-Côte d'Azur, Population:26 217
Ville: Salon-de-Provence, Code:93, Region:Provence-Alpes-Côte d'Azur, Population:46 225
Ville: Vitrolles, Code:93, Region:Provence-Alpes-Côte d'Azur, Population:34 301
Ville: Caen, Code:28, Region:Normandie, Population:108 461
Ville: Aurillac, Code:84, Region:Auvergne-Rhône-Alpes, Population:27 659
Ville: Angoulême, Code:75, Region:Nouvelle-Aquitaine, Population:44 629
Ville: La Rochelle, Code:75, Region:Nouvelle-Aquitaine, Population:78 623
Ville: Saintes, Code:75, Region:Nouvelle-Aquitaine, Population:26 890
Ville: Bourges, Code:24, Region:Centre-Val de Loire, Population:67 841
Ville: Vierzon, Code:24, Region:Centre-Val de Loire, Population:27 036
Ville: Brive-la-Gaillarde, Code:75, Region:Nouvelle-Aquitaine, Population:48 333
Ville: Ajaccio, Code:94, Region:Corse, Population:70 063
Ville: Bastia, Code:94, Region:Corse, Population:45 596
Ville: Dijon, Code:27, Region:Bourgogne-Franche-Comté, Population:159 031
Ville: Saint-Brieuc, Code:53, Region:Bretagne, Population:47 058
Ville: Bergerac, Code:75, Region:Nouvelle-Aquitaine, Population:28 166
Ville: Périgueux, Code:75, Region:Nouvelle-Aquitaine, Population:31 505
Ville: Besançon, Code:27, Region:Bourgogne-Franche-Comté, Population:120 107
Ville: Montbéliard, Code:27, Region:Bourgogne-Franche-Comté, Population:26 015
Ville: Montélimar, Code:84, Region:Auvergne-Rhône-Alpes, Population:39 924
Ville: Romans-sur-Isère, Code:84, Region:Auvergne-Rhône-Alpes, Population:34 095
Ville: Valence, Code:84, Region:Auvergne-Rhône-Alpes, Population:64 322
Ville: Évreux, Code:28, Region:Normandie, Population:51 560
Ville: Chartres, Code:24, Region:Centre-Val de Loire, Population:40 195
Ville: Dreux, Code:24, Region:Centre-Val de Loire, Population:31 575
Ville: Brest, Code:53, Region:Bretagne, Population:142 629
Ville: Quimper, Code:53, Region:Bretagne, Population:66 743
Ville: Alès, Code:76, Region:Occitanie, Population:41 129
Ville: Nîmes, Code:76, Region:Occitanie, Population:154 196
Ville: Colomiers, Code:76, Region:Occitanie, Population:39 200
Ville: Muret, Code:76, Region:Occitanie, Population:25 961
Ville: Toulouse, Code:76, Region:Occitanie, Population:482 738
Ville: Tournefeuille, Code:76, Region:Occitanie, Population:27 008
Ville: Bègles, Code:75, Region:Nouvelle-Aquitaine, Population:28 092
Ville: Bordeaux, Code:75, Region:Nouvelle-Aquitaine, Population:256 045
Ville: Gradignan, Code:75, Region:Nouvelle-Aquitaine, Population:26 029
Ville: Libourne, Code:75, Region:Nouvelle-Aquitaine, Population:25 491
Ville: Mérignac, Code:75, Region:Nouvelle-Aquitaine, Population:71 203
Ville: Pessac, Code:75, Region:Nouvelle-Aquitaine, Population:62 737
Ville: Saint-Médard-en-Jalles, Code:75, Region:Nouvelle-Aquitaine, Population:31 576
Ville: Talence, Code:75, Region:Nouvelle-Aquitaine, Population:44 040
